Subject ID,Scan Type,Processing Info,File Path
001,flair,raw,../data/flattened_nii_files_2020/BraTS20_Training_001_flair.nii
001,seg,raw,../data/flattened_nii_files_2020/BraTS20_Training_001_seg.nii
001,t1,raw,../data/flattened_nii_files_2020/BraTS20_Training_001_t1.nii
001,t1ce,raw,../data/flattened_nii_files_2020/BraTS20_Training_001_t1ce.nii
001,t2,raw,../data/flattened_nii_files_2020/BraTS20_Training_001_t2.nii
002,flair,raw,../data/flattened_nii_files_2020/BraTS20_Training_002_flair.nii
002,seg,raw,../data/flattened_nii_files_2020/BraTS20_Training_002_seg.nii
002,t1,raw,../data/flattened_nii_files_2020/BraTS20_Training_002_t1.nii
002,t1ce,raw,../data/flattened_nii_files_2020/BraTS20_Training_002_t1ce.nii
002,t2,raw,../data/flattened_nii_files_2020/BraTS20_Training_002_t2.nii
003,flair,raw,../data/flattened_nii_files_2020/BraTS20_Training_003_flair.nii
003,seg,raw,../data/flattened_nii_files_2020/BraTS20_Training_003_seg.nii
003,t1,raw,../data/flattened_nii_files_2020/BraTS20_Training_003_t1.nii
003,t1ce,raw,../data/flattened_nii_files_2020/BraTS20_Training_003_t1ce.nii
003,t2,raw,../data/flattened_nii_files_2020/BraTS20_Training_003_t2.nii
004,flair,raw,../data/flattened_nii_files_2020/BraTS20_Training_004_flair.nii
004,seg,raw,../data/flattened_nii_files_2020/BraTS20_Training_004_seg.nii
004,t1,raw,../data/flattened_nii_files_2020/BraTS20_Training_004_t1.nii
004,t1ce,raw,../data/flattened_nii_files_2020/BraTS20_Training_004_t1ce.nii
004,t2,raw,../data/flattened_nii_files_2020/BraTS20_Training_004_t2.nii
005,flair,raw,../data/flattened_nii_files_2020/BraTS20_Training_005_flair.nii
005,seg,raw,../data/flattened_nii_files_2020/BraTS20_Training_005_seg.nii
005,t1,raw,../data/flattened_nii_files_2020/BraTS20_Training_005_t1.nii
005,t1ce,raw,../data/flattened_nii_files_2020/BraTS20_Training_005_t1ce.nii
005,t2,raw,../data/flattened_nii_files_2020/BraTS20_Training_005_t2.nii
006,flair,raw,../data/flattened_nii_files_2020/BraTS20_Training_006_flair.nii
006,seg,raw,../data/flattened_nii_files_2020/BraTS20_Training_006_seg.nii
006,t1,raw,../data/flattened_nii_files_2020/BraTS20_Training_006_t1.nii
006,t1ce,raw,../data/flattened_nii_files_2020/BraTS20_Training_006_t1ce.nii
006,t2,raw,../data/flattened_nii_files_2020/BraTS20_Training_006_t2.nii
007,flair,raw,../data/flattened_nii_files_2020/BraTS20_Training_007_flair.nii
007,seg,raw,../data/flattened_nii_files_2020/BraTS20_Training_007_seg.nii
007,t1,raw,../data/flattened_nii_files_2020/BraTS20_Training_007_t1.nii
007,t1ce,raw,../data/flattened_nii_files_2020/BraTS20_Training_007_t1ce.nii
007,t2,raw,../data/flattened_nii_files_2020/BraTS20_Training_007_t2.nii
008,flair,raw,../data/flattened_nii_files_2020/BraTS20_Training_008_flair.nii
008,seg,raw,../data/flattened_nii_files_2020/BraTS20_Training_008_seg.nii
008,t1,raw,../data/flattened_nii_files_2020/BraTS20_Training_008_t1.nii
008,t1ce,raw,../data/flattened_nii_files_2020/BraTS20_Training_008_t1ce.nii
008,t2,raw,../data/flattened_nii_files_2020/BraTS20_Training_008_t2.nii
009,flair,raw,../data/flattened_nii_files_2020/BraTS20_Training_009_flair.nii
009,seg,raw,../data/flattened_nii_files_2020/BraTS20_Training_009_seg.nii
009,t1,raw,../data/flattened_nii_files_2020/BraTS20_Training_009_t1.nii
009,t1ce,raw,../data/flattened_nii_files_2020/BraTS20_Training_009_t1ce.nii
009,t2,raw,../data/flattened_nii_files_2020/BraTS20_Training_009_t2.nii
010,flair,raw,../data/flattened_nii_files_2020/BraTS20_Training_010_flair.nii
010,seg,raw,../data/flattened_nii_files_2020/BraTS20_Training_010_seg.nii
010,t1,raw,../data/flattened_nii_files_2020/BraTS20_Training_010_t1.nii
010,t1ce,raw,../data/flattened_nii_files_2020/BraTS20_Training_010_t1ce.nii
010,t2,raw,../data/flattened_nii_files_2020/BraTS20_Training_010_t2.nii
011,flair,raw,../data/flattened_nii_files_2020/BraTS20_Training_011_flair.nii
011,seg,raw,../data/flattened_nii_files_2020/BraTS20_Training_011_seg.nii
011,t1,raw,../data/flattened_nii_files_2020/BraTS20_Training_011_t1.nii
011,t1ce,raw,../data/flattened_nii_files_2020/BraTS20_Training_011_t1ce.nii
011,t2,raw,../data/flattened_nii_files_2020/BraTS20_Training_011_t2.nii
012,flair,raw,../data/flattened_nii_files_2020/BraTS20_Training_012_flair.nii
012,seg,raw,../data/flattened_nii_files_2020/BraTS20_Training_012_seg.nii
012,t1,raw,../data/flattened_nii_files_2020/BraTS20_Training_012_t1.nii
012,t1ce,raw,../data/flattened_nii_files_2020/BraTS20_Training_012_t1ce.nii
012,t2,raw,../data/flattened_nii_files_2020/BraTS20_Training_012_t2.nii
013,flair,raw,../data/flattened_nii_files_2020/BraTS20_Training_013_flair.nii
013,seg,raw,../data/flattened_nii_files_2020/BraTS20_Training_013_seg.nii
013,t1,raw,../data/flattened_nii_files_2020/BraTS20_Training_013_t1.nii
013,t1ce,raw,../data/flattened_nii_files_2020/BraTS20_Training_013_t1ce.nii
013,t2,raw,../data/flattened_nii_files_2020/BraTS20_Training_013_t2.nii
014,flair,raw,../data/flattened_nii_files_2020/BraTS20_Training_014_flair.nii
014,seg,raw,../data/flattened_nii_files_2020/BraTS20_Training_014_seg.nii
014,t1,raw,../data/flattened_nii_files_2020/BraTS20_Training_014_t1.nii
014,t1ce,raw,../data/flattened_nii_files_2020/BraTS20_Training_014_t1ce.nii
014,t2,raw,../data/flattened_nii_files_2020/BraTS20_Training_014_t2.nii
015,flair,raw,../data/flattened_nii_files_2020/BraTS20_Training_015_flair.nii
015,seg,raw,../data/flattened_nii_files_2020/BraTS20_Training_015_seg.nii
015,t1,raw,../data/flattened_nii_files_2020/BraTS20_Training_015_t1.nii
015,t1ce,raw,../data/flattened_nii_files_2020/BraTS20_Training_015_t1ce.nii
015,t2,raw,../data/flattened_nii_files_2020/BraTS20_Training_015_t2.nii
016,flair,raw,../data/flattened_nii_files_2020/BraTS20_Training_016_flair.nii
016,seg,raw,../data/flattened_nii_files_2020/BraTS20_Training_016_seg.nii
